key,timestamp
a,1723262286.3741183
m,1723262286.6491566
space,1723262288.0063663
h,1723262290.3156617
e,1723262290.480426
r,1723262290.7190437
e,1723262290.8283331
space,1723262291.0854642
t,1723262291.5840852
o,1723262291.7492182
space,1723262292.0087318
s,1723262292.462534
t,1723262292.8149395
a,1723262293.1152525
r,1723262293.4022171
t,1723262293.6477103
enter,1723262294.622334
esc,1723262297.117278
