,0
a,0.1369633674621582
e,0.1459246277809143
esc,1.0328238010406494
h,0.460586945215861
i,0.2527306079864502
m,0.15635991096496582
r,0.24503850936889648
s,0.5454072952270508
space,0.5494869550069174
t,0.3895074526468913
mean_interval,0.35875085421970915
