key,time,event
a,1723989248.772465,release
u,1723989248.8020797,press
s,1723989248.8381517,press
d,1723989248.923856,release
i,1723989248.976064,press
u,1723989248.990785,release
a,1723989249.0305598,press
f,1723989249.1397862,press
a,1723989249.1443312,release
s,1723989249.2280715,release
i,1723989249.233097,release
j,1723989249.3474178,press
f,1723989249.3644533,release
j,1723989249.537263,release
a,1723989249.5851085,press
s,1723989249.671859,press
d,1723989249.8612554,press
a,1723989249.8761826,release
u,1723989249.9159892,press
s,1723989249.9414659,release
u,1723989249.9700775,release
i,1723989250.0089939,press
Key.space,1723989250.0676446,press
i,1723989250.1831696,release
Key.space,1723989250.242832,release
d,1723989250.2860823,release
u,1723989250.421049,press
s,1723989250.4527485,press
u,1723989250.550562,release
i,1723989250.581774,press
f,1723989250.681464,press
s,1723989250.7138026,release
u,1723989250.7187366,press
i,1723989250.789243,release
u,1723989250.906153,release
e,1723989250.918214,press
w,1723989250.9819403,press
i,1723989250.992182,press
u,1723989251.020663,press
f,1723989251.0525465,release
u,1723989251.0711527,release
e,1723989251.1234906,release
w,1723989251.1598566,release
f,1723989251.1987967,press
f,1723989251.2865274,release
s,1723989251.306136,press
i,1723989251.3290174,release
j,1723989251.494648,press
s,1723989251.5201943,release
k,1723989251.5761385,press
j,1723989251.6662674,release
s,1723989251.6978927,press
j,1723989251.7983623,press
d,1723989251.8060935,press
k,1723989251.8641863,release
s,1723989251.8697665,release
i,1723989252.0556457,press
j,1723989252.0721755,release
d,1723989252.1653385,release
u,1723989252.2028153,press
d,1723989252.2656505,press
d,1723989252.4218616,release
u,1723989252.506175,release
s,1723989252.5810657,press
a,1723989252.5812829,press
u,1723989252.6153834,press
d,1723989252.6331067,press
a,1723989252.6413465,release
d,1723989252.7595437,release
u,1723989252.7664094,release
a,1723989252.7897482,press
i,1723989252.84959,release
s,1723989252.8561876,release
d,1723989252.8661869,press
a,1723989252.9387548,release
u,1723989252.9669783,press
Key.space,1723989253.0230849,press
u,1723989253.1617846,release
Key.space,1723989253.1884842,release
w,1723989253.194452,press
e,1723989253.2015622,press
d,1723989253.2210722,release
