key,time,event
a,1723991476.5471816,press
d,1723991476.5541065,release
h,1723991476.6793392,press
a,1723991476.7059994,release
s,1723991476.7225463,release
d,1723991476.7573705,press
h,1723991476.825049,release
d,1723991476.9531536,release
h,1723991476.9820254,press
w,1723991477.1062465,press
h,1723991477.1142488,release
h,1723991477.2221582,press
j,1723991477.2571464,press
w,1723991477.3535924,release
d,1723991477.3932893,press
h,1723991477.4095645,release
w,1723991477.4312532,press
j,1723991477.439589,release
d,1723991477.5107124,release
w,1723991477.6987648,release
Key.space,1723991477.7530692,press
Key.space,1723991477.8607044,release
d,1723991477.994205,press
u,1723991478.0182216,press
s,1723991478.0912995,press
a,1723991478.0929353,press
d,1723991478.1337874,release
i,1723991478.1366835,press
u,1723991478.208012,release
d,1723991478.2931683,press
i,1723991478.3013833,release
s,1723991478.3063235,release
a,1723991478.3210783,release
u,1723991478.3574796,press
w,1723991478.489411,press
u,1723991478.5518234,release
i,1723991478.5965009,press
d,1723991478.6050038,release
u,1723991478.6849935,press
w,1723991478.6992486,release
u,1723991478.79156,release
i,1723991478.8085155,release
a,1723991478.8622935,press
s,1723991478.8693078,press
a,1723991479.0255558,release
s,1723991479.0584826,release
j,1723991479.1069355,press
j,1723991479.2562485,release
w,1723991479.3900096,press
h,1723991479.3984666,press
e,1723991479.4154332,press
d,1723991479.5595558,press
e,1723991479.5876572,release
w,1723991479.6038892,release
h,1723991479.6623871,release
d,1723991479.8059819,release
w,1723991479.8072333,press
w,1723991479.9657738,release
Key.space,1723991479.9700453,press
Key.space,1723991480.105883,release
u,1723991480.2271903,press
i,1723991480.26269,press
d,1723991480.3441646,press
u,1723991480.3926644,release
i,1723991480.4218595,release
u,1723991480.548043,press
a,1723991480.562735,press
d,1723991480.6227734,release
i,1723991480.6583283,press
d,1723991480.6691618,press
a,1723991480.6834414,release
i,1723991480.7293,release
u,1723991480.7435079,release
u,1723991480.8302379,press
w,1723991480.9787095,press
i,1723991480.9789906,press
d,1723991481.0047562,release
u,1723991481.0063703,release
i,1723991481.0255446,release
w,1723991481.0621138,release
d,1723991481.1694822,press
a,1723991481.206031,press
s,1723991481.2308562,press
d,1723991481.2646358,release
s,1723991481.361168,release
a,1723991481.3656838,release
Key.esc,1723991482.120363,press
Key.esc,1723991482.3214426,release
